,np_13F02_34E04_MB006B_020413B_scaled.points,np_13F02_52H09_MB010B_021713A_scaled.points,np_13F02_52H09_MB010B_021713B_scaled.points,np_14C08_15B01_MB011A_020613B_scaled.points,np_14C08_15B01_MB011A_020613C_scaled.points,np_14E06_22B12_MB012B_020413B_scaled.points,np_24H08_53F03_MB027B_020413A_scaled.points,np_30C01_53H03_MB078C_021713B_scaled.points,np_33D07_10F07_MB033B_020613A_scaled.points,np_52B07_52H01_MB262B_021713B_scaled.points,np_58E02_22E04_MB042C_020213A_scaled.points,np_58E02_32D11_MB043B_020213A_scaled.points,np_58E02_32D11_MB043B_021713B_scaled.points,np_58E02_37E10_MB299C_021713A_scaled.points,np_58E02_87B09_MB045C_020213B_scaled.points,np_60H12_14E09_MB049B_020113B_scaled.points,np_73F07_30E11_MB302B_022013B_scaled.points,np_73F07_38E08_MB303B_022013A_scaled.points,np_73F07_38E08_MB303B_022013B_scaled.points,np_73H08_19F09_MB090A_021713A_scaled.points,np_73H08_55A07_MB243A_022013B_scaled.points
left thoracic nerve entry T1,0.91,0.65,2.05,2.05,2.1,0.46,0.65,1.44,2,0.65,2.05,2.71,2.05,2.47,2.05,2.1,2.05,0.65,1.37,2.05,2.05
left thoracic nerve entry T2,0.46,0.91,0.46,0.46,0.65,0.65,0,2.2,0.65,0.65,1.44,0.65,0.65,0.46,2.1,1.02,2.2,0,0.46,0.65,0.65
left thoracic nerve entry T3,0.46,0.65,0,0.46,0.65,2.59,2.42,0.46,2.2,0.46,2.47,0.91,0.46,0,1.44,0.65,0.91,0.46,0.46,1.29,2.2
left tip of vertical lobe,0.65,2.33,0.46,0.46,2.05,0.46,0,0.91,1.02,0.46,0,0.46,0.65,0,2.05,0.46,0.46,0.65,0,0,1.02
left upper most anterior nerve entry,3.42,2.33,2.47,2.46,4.25,2.59,2.75,2.86,0.65,2.89,5.44,4.23,1.29,6.02,3.66,2.75,4.13,4.76,6.92,5.72,8.95
left upper peduncle,2.05,2.1,0,0,2.05,2.2,0.46,2.2,0.65,1.02,0,0.65,0.46,0.91,0.46,0.46,0.46,0,0.46,0,2
posterior upper commisure,0.65,2.25,2.25,4.85,4.85,3.48,2.25,2.47,4.23,2.38,1.02,2.1,2.1,2.2,0.65,4.03,2,4.13,2.42,2.05,2.05
right A6 nerve entry,4.26,4.4,2.1,3.42,3.39,4.13,2.59,1.29,4.13,4.03,4.03,2.2,2.05,2.25,4.03,4.25,2.05,2.2,2,2.1,2.05
right A7 nerve entry,4.23,4.23,2.75,4.03,2.1,4.13,2.1,2.25,4.03,4,4.03,4.03,2.05,2,6.09,2,2.05,2.1,2.86,2.05,1.02
right A8 nerve entry,2.2,4.25,2.2,2.86,2.2,4.13,2.38,1.02,4.23,4.23,4.13,2.25,2.25,2.59,4.13,4.4,2.47,2.38,2.05,2.59,2.38
right MB vertical medial lobe connection,0,2.47,0.46,0.46,2.59,1.65,0.46,0.46,0.65,2.75,0.46,1.02,0.46,0.46,0.91,0.46,0.46,0.65,0.46,0.46,0.46
right antennal nerve,2.25,1.44,0.65,2.2,1.02,2.2,2,1.65,2.2,2.42,5.3,2,1.94,1.02,2.2,2.05,4.05,0.65,2.05,1.37,1.65
right anterior LON nerve,2.86,2.33,1.44,2.92,1.65,1.44,1.65,3.04,1.29,2.05,2.04,0.65,0,1.29,0.46,0.91,1.02,0,2,1.44,1.44
right basal brain neuropil border posterior,2.05,4.03,4.33,8.33,6.22,3.07,4.2,4.81,6.67,2.1,4.13,2.38,4.49,4.61,4.03,2.25,2.05,4.23,4.2,6.17,2.1
right thoracic nerve entry T1,1.02,0.46,2.1,2.05,2.05,1.65,0.65,1.02,2,0.46,2.25,2.05,2.2,2.25,2.25,2.05,2.05,0.65,0.46,2.05,2.05
right thoracic nerve entry T2,0.65,0.46,1.44,0.46,1.44,1.02,0.91,2.05,0.65,1.02,0.46,0.46,0.91,0.91,2,0.65,2.05,0.65,0.46,0.46,0.65
right thoracic nerve entry T3,1.02,0,0.46,1.44,0.65,2.86,2,0.46,2,1.02,2.42,0.91,0,0.46,1.44,0,0.46,0.46,0.46,0.46,2.05
right tip of vertical lobe,0.91,0.91,0.46,0.46,2.2,0.46,0.46,0.91,0.46,0,0.46,0.46,0.46,0.46,2.2,0,0.46,0.46,0.46,0.91,0.46
right upper most anterior nerve entry,2.42,1.02,2.38,1.29,4.87,3.07,2.2,2.78,1.44,0.65,5.12,5.18,0.46,7.93,2.47,2.75,5.44,5.9,8.33,6.44,10.69
right upper peduncle,2.05,2,0.91,0.46,2.2,2,0.65,2.05,0.91,2.05,0.91,0,0.65,0.46,0.91,0.91,1.29,0.65,0,0.65,2.25
