,np_60H12_14E09_MB049B_020113B_scaled.points,np_52B07_52H01_MB262B_021713B_scaled.points,np_58E02_32D11_MB043B_021713B_scaled.points,np_13F02_52H09_MB010B_021713A_scaled.points,np_73H08_19F09_MB090A_021713A_scaled.points,np_58E02_87B09_MB045C_020213B_scaled.points,np_58E02_37E10_MB299C_021713A_scaled.points,np_33D07_10F07_MB033B_020613A_scaled.points,np_73F07_30E11_MB302B_022013B_scaled.points,np_13F02_52H09_MB010B_021713B_scaled.points,np_73F07_38E08_MB303B_022013B_scaled.points,np_73H08_55A07_MB243A_022013B_scaled.points,np_30C01_53H03_MB078C_021713B_scaled.points,np_73F07_38E08_MB303B_022013A_scaled.points,np_58E02_22E04_MB042C_020213A_scaled.points,np_13F02_34E04_MB006B_020413B_scaled.points,np_14C08_15B01_MB011A_020613B_scaled.points,np_14C08_15B01_MB011A_020613C_scaled.points,np_14E06_22B12_MB012B_020413B_scaled.points,np_58E02_32D11_MB043B_020213A_scaled.points,np_24H08_53F03_MB027B_020413A_scaled.points,std,mean
anterior upper commisure,2.25,2.2,0.46,4.2,2.05,1.02,2.05,0.46,0.0,0.46,2.1,1.29,0.46,2.2,4.05,0.46,2.05,0.46,2.28,1.02,0.46,1.12,1.6
center SEZ neuropil fusion,2.05,1.02,1.44,0.65,4.85,3.04,4.13,0.91,4.1,2.0,4.03,3.04,2.1,4.03,4.7,2.59,0.46,4.05,2.05,4.13,2.42,1.36,2.75
left tip of vertical lobe,0.46,0.46,0.65,2.33,0.0,2.05,0.0,1.02,0.46,0.46,0.0,1.02,0.91,0.65,0.0,0.65,0.46,2.05,0.46,0.46,0.0,0.63,0.91
left antennal nerve,2.25,2.75,1.44,0.46,0.91,2.05,0.65,2.42,4.0,0.65,2.1,0.65,0.65,0.65,6.14,2.42,2.75,1.02,2.38,2.2,2.42,1.33,1.95
right anterior LON nerve,0.91,2.05,0.0,2.33,1.44,0.46,1.29,1.29,1.02,1.44,2.0,1.44,3.04,0.0,2.04,2.86,2.92,1.65,1.44,0.65,1.65,0.71,1.68
posterior upper commisure,4.03,2.38,2.1,2.25,2.05,0.65,2.2,4.23,2.0,2.25,2.42,2.05,2.47,4.13,1.02,0.65,4.85,4.85,3.48,2.1,2.25,1.2,2.59
right upper most anterior nerve entry,2.75,0.65,0.46,1.02,6.44,2.47,7.93,1.44,5.44,2.38,8.33,10.69,2.78,5.9,5.12,2.42,1.29,4.87,3.07,5.18,2.2,2.72,3.94
left A7 nerve entry,2.1,4.05,2.05,4.05,2.1,6.29,2.2,4.03,2.0,2.1,2.0,0.46,2.05,2.1,4.03,4.13,4.03,2.05,4.03,4.13,2.25,1.3,2.96
right A6 nerve entry,4.25,4.03,2.05,4.4,2.1,4.03,2.25,4.13,2.05,2.1,2.0,2.05,1.29,2.2,4.03,4.26,3.42,3.39,4.13,2.2,2.59,1.01,3.0
left upper peduncle,0.46,1.02,0.46,2.1,0.0,0.46,0.91,0.65,0.46,0.0,0.46,2.0,2.2,0.0,0.0,2.05,0.0,2.05,2.2,0.65,0.46,0.74,1.16
left A6 nerve entry,4.13,4.33,2.42,4.33,2.25,4.13,2.2,4.1,2.42,2.1,2.75,2.71,1.44,2.05,4.03,3.42,3.42,3.07,4.63,2.05,3.07,0.93,3.1
left anterior LON nerve,0.0,2.2,0.91,1.44,0.65,2.05,0.46,1.88,0.91,1.29,2.42,1.02,2.0,0.46,0.91,3.04,2.66,2.04,1.44,0.91,1.44,0.73,1.51
right thoracic nerve entry T3,0.0,1.02,0.0,0.0,0.46,1.44,0.46,2.0,0.46,0.46,0.46,2.05,0.46,0.46,2.42,1.02,1.44,0.65,2.86,0.91,2.0,0.77,1.17
